ID,rrn ,ave,group
1,12,0.002270329,soybean
2,12,3.68161E-05,soybean
3,10.86,0.008835874,soybean
4,10.86,0.003853423,soybean
5,10.86,0.002307145,soybean
6,10.86,0.001693542,soybean
7,10.86,0.001472646,soybean
8,10.86,0.001239477,soybean
9,10.86,0.00107994,soybean
10,10.86,0.000822227,soybean
11,10.86,0.000711779,soybean
12,10.86,0.000613602,soybean
13,10.86,0.000589058,soybean
14,10.86,0.000552242,soybean
15,10.86,0.000466338,soybean
16,10.86,0.000368161,soybean
17,10.86,0.000368161,soybean
18,10.86,0.000282257,soybean
19,10.86,0.000282257,soybean
20,10.86,0.000269985,soybean
21,10.86,0.000245441,soybean
22,10.86,0.000208625,soybean
23,10.86,0.000134993,soybean
24,10.86,0.000134993,soybean
25,10.86,0.00012272,soybean
26,10.86,0.00012272,soybean
27,10.86,0.00012272,soybean
28,10.86,0.000110448,soybean
29,10.86,9.81764E-05,soybean
30,10.86,8.59043E-05,soybean
31,10.86,8.59043E-05,soybean
32,10.86,7.36323E-05,soybean
33,10.86,7.36323E-05,soybean
34,10.86,7.36323E-05,soybean
35,10.86,6.13602E-05,soybean
36,10.86,4.90882E-05,soybean
37,10.86,4.90882E-05,soybean
38,10.86,3.68161E-05,soybean
39,10.86,3.68161E-05,soybean
40,10.86,3.68161E-05,soybean
41,10.86,3.68161E-05,soybean
42,10.86,2.45441E-05,soybean
43,10.86,2.45441E-05,soybean
44,10.86,1.2272E-05,soybean
45,10.86,1.2272E-05,soybean
46,10.65,0.066023611,soybean
47,10.65,0.020199789,soybean
48,10.65,0.011646172,soybean
49,10.65,0.010418968,soybean
50,10.65,0.009007682,soybean
51,10.65,0.006700538,soybean
52,10.65,0.006491913,soybean
53,10.65,0.005866038,soybean
54,10.65,0.005191076,soybean
55,10.65,0.00515426,soybean
56,10.65,0.00413568,soybean
57,10.65,0.004086592,soybean
58,10.65,0.003620254,soybean
59,10.65,0.003264364,soybean
60,10.65,0.003006651,soybean
61,10.65,0.002687578,soybean
62,10.65,0.002429865,soybean
63,10.65,0.002417593,soybean
64,10.65,0.0019758,soybean
65,10.65,0.001926711,soybean
66,10.65,0.001889895,soybean
67,10.65,0.001865351,soybean
68,10.65,0.00161991,soybean
69,10.65,0.001374469,soybean
70,10.65,0.001325381,soybean
71,10.65,0.001276293,soybean
72,10.65,0.001030852,soybean
73,10.65,0.000969492,soybean
74,10.65,0.000932676,soybean
75,10.65,0.000822227,soybean
76,10.65,0.000822227,soybean
77,10.65,0.000638146,soybean
78,10.65,0.000564514,soybean
79,10.65,0.000564514,soybean
80,10.65,0.00053997,soybean
81,10.65,0.000503154,soybean
82,10.65,0.000441794,soybean
83,10.65,0.000441794,soybean
84,10.65,0.000392705,soybean
85,10.65,0.000380433,soybean
86,10.65,0.000368161,soybean
87,10.65,0.000306801,soybean
88,10.65,0.000294529,soybean
89,10.65,0.000294529,soybean
90,10.65,0.000294529,soybean
91,10.65,0.000269985,soybean
92,10.65,0.000233169,soybean
93,10.65,0.000220897,soybean
94,10.65,0.000208625,soybean
95,10.65,0.000196353,soybean
96,10.65,0.000171809,soybean
97,10.65,0.000147265,soybean
98,10.65,0.000134993,soybean
99,10.65,0.000110448,soybean
100,10.65,0.000110448,soybean
101,10.65,0.000110448,soybean
102,10.65,9.81764E-05,soybean
103,10.65,9.81764E-05,soybean
104,10.65,8.59043E-05,soybean
105,10.65,8.59043E-05,soybean
106,10.65,8.59043E-05,soybean
107,10.65,8.59043E-05,soybean
108,10.65,8.59043E-05,soybean
109,10.65,8.59043E-05,soybean
110,10.65,7.36323E-05,soybean
111,10.65,7.36323E-05,soybean
112,10.65,7.36323E-05,soybean
113,10.65,7.36323E-05,soybean
114,10.65,6.13602E-05,soybean
115,10.65,6.13602E-05,soybean
116,10.65,6.13602E-05,soybean
117,10.65,6.13602E-05,soybean
118,10.65,6.13602E-05,soybean
119,10.65,6.13602E-05,soybean
120,10.65,6.13602E-05,soybean
121,10.65,6.13602E-05,soybean
122,10.65,4.90882E-05,soybean
123,10.65,4.90882E-05,soybean
124,10.65,4.90882E-05,soybean
125,10.65,4.90882E-05,soybean
126,10.65,4.90882E-05,soybean
127,10.65,3.68161E-05,soybean
128,10.65,3.68161E-05,soybean
129,10.65,3.68161E-05,soybean
130,10.65,3.68161E-05,soybean
131,10.65,3.68161E-05,soybean
132,10.65,3.68161E-05,soybean
133,10.65,3.68161E-05,soybean
134,10.65,3.68161E-05,soybean
135,10.65,3.68161E-05,soybean
136,10.65,3.68161E-05,soybean
137,10.65,3.68161E-05,soybean
138,10.65,3.68161E-05,soybean
139,10.65,3.68161E-05,soybean
140,10.65,3.68161E-05,soybean
141,10.65,3.68161E-05,soybean
142,10.65,2.45441E-05,soybean
143,10.65,2.45441E-05,soybean
144,10.65,2.45441E-05,soybean
145,10.65,2.45441E-05,soybean
146,10.65,1.2272E-05,soybean
147,10.65,1.2272E-05,soybean
148,10,0.006320104,soybean
149,10,0.006013303,soybean
150,10,0.004344305,soybean
151,10,0.003804334,soybean
152,10,0.00377979,soybean
153,10,0.002196696,soybean
154,10,0.001963527,soybean
155,10,0.001055396,soybean
156,10,0.000932676,soybean
157,10,0.000724051,soybean
158,10,0.000638146,soybean
159,10,0.00060133,soybean
160,10,0.000404978,soybean
161,10,0.000331345,soybean
162,10,0.000331345,soybean
163,10,0.000282257,soybean
164,10,0.000233169,soybean
165,10,0.000233169,soybean
166,10,0.000171809,soybean
167,10,6.13602E-05,soybean
168,10,6.13602E-05,soybean
169,10,6.13602E-05,soybean
170,10,4.90882E-05,soybean
171,10,4.90882E-05,soybean
172,10,3.68161E-05,soybean
173,10,3.68161E-05,soybean
174,10,3.68161E-05,soybean
175,10,2.45441E-05,soybean
176,9,0.0167268,soybean
177,9,0.004908819,soybean
178,9,0.003387085,soybean
179,9,0.000355889,soybean
180,9,0.000245441,soybean
181,9,0.000134993,soybean
182,9,9.81764E-05,soybean
183,9,9.81764E-05,soybean
184,9,6.13602E-05,soybean
185,9,4.90882E-05,soybean
186,9,4.90882E-05,soybean
187,9,4.90882E-05,soybean
188,9,3.68161E-05,soybean
189,9,3.68161E-05,soybean
190,9,3.68161E-05,soybean
191,8,0.00377979,soybean
192,8,0.000233169,soybean
193,8,0.000110448,soybean
194,8,9.81764E-05,soybean
195,8,8.59043E-05,soybean
196,8,6.13602E-05,soybean
197,8,3.68161E-05,soybean
198,8,2.45441E-05,soybean
199,7.93,0.003203004,soybean
200,7.93,0.001705814,soybean
201,7.88,0.0031171,soybean
202,7.78,0.004086592,soybean
203,7.78,0.000589058,soybean
204,7.78,0.000171809,soybean
205,7.78,0.000134993,soybean
206,7.78,0.00012272,soybean
207,7.78,9.81764E-05,soybean
208,7.78,9.81764E-05,soybean
209,7.78,8.59043E-05,soybean
210,7.78,7.36323E-05,soybean
211,7.78,6.13602E-05,soybean
212,7.78,4.90882E-05,soybean
213,7.78,3.68161E-05,soybean
214,7.78,3.68161E-05,soybean
215,7.78,3.68161E-05,soybean
216,7.78,3.68161E-05,soybean
217,7.78,2.45441E-05,soybean
218,7.48,3.68161E-05,soybean
219,7.25,0.000589058,soybean
220,7.25,0.000282257,soybean
221,7.25,0.000171809,soybean
222,7.25,0.000159537,soybean
223,7.25,4.90882E-05,soybean
224,7,0.000208625,soybean
225,7,0.00012272,soybean
226,7,0.00012272,soybean
227,6.67,0.001448102,soybean
228,6.67,0.001411285,soybean
229,6.67,0.000233169,soybean
230,6.67,6.13602E-05,soybean
231,6.67,4.90882E-05,soybean
232,6.4,0.001325381,soybean
233,6.4,0.001214933,soybean
234,6.4,0.001092212,soybean
235,6.4,0.000883587,soybean
236,6.4,0.000859043,soybean
237,6.4,0.000613602,soybean
238,6.4,0.000527698,soybean
239,6.4,0.000331345,soybean
240,6.4,0.000233169,soybean
241,6.4,0.000220897,soybean
242,6.4,0.000196353,soybean
243,6.4,0.000159537,soybean
244,6.4,0.00012272,soybean
245,6.4,0.000110448,soybean
246,6.4,8.59043E-05,soybean
247,6.4,8.59043E-05,soybean
248,6.4,7.36323E-05,soybean
249,6.4,7.36323E-05,soybean
250,6.4,6.13602E-05,soybean
251,6.4,6.13602E-05,soybean
252,6.4,6.13602E-05,soybean
253,6.4,6.13602E-05,soybean
254,6.4,6.13602E-05,soybean
255,6.4,4.90882E-05,soybean
256,6.4,4.90882E-05,soybean
257,6.4,3.68161E-05,soybean
258,6.4,3.68161E-05,soybean
259,6.4,3.68161E-05,soybean
260,6.08,0.000282257,soybean
261,6.08,0.000171809,soybean
262,6,0.000797683,soybean
263,6,0.000613602,soybean
264,6,0.000527698,soybean
265,6,0.000429522,soybean
266,6,0.000294529,soybean
267,6,0.000269985,soybean
268,6,0.000208625,soybean
269,6,0.000208625,soybean
270,6,0.000159537,soybean
271,6,8.59043E-05,soybean
272,6,7.36323E-05,soybean
273,6,4.90882E-05,soybean
274,6,4.90882E-05,soybean
275,6,3.68161E-05,soybean
276,6,3.68161E-05,soybean
277,5.95,0.003951599,soybean
278,5.95,0.002417593,soybean
279,5.95,0.001055396,soybean
280,5.95,0.00101858,soybean
281,5.95,0.000650418,soybean
282,5.95,0.000527698,soybean
283,5.95,0.000368161,soybean
284,5.95,0.000368161,soybean
285,5.95,0.000355889,soybean
286,5.95,0.000319073,soybean
287,5.95,0.000257713,soybean
288,5.95,0.000257713,soybean
289,5.95,0.000134993,soybean
290,5.95,0.00012272,soybean
291,5.95,7.36323E-05,soybean
292,5.95,6.13602E-05,soybean
293,5.95,6.13602E-05,soybean
294,5.95,6.13602E-05,soybean
295,5.95,6.13602E-05,soybean
296,5.95,4.90882E-05,soybean
297,5.95,4.90882E-05,soybean
298,5.95,3.68161E-05,soybean
299,5.95,3.68161E-05,soybean
300,5.95,3.68161E-05,soybean
301,5.95,3.68161E-05,soybean
302,5.95,1.2272E-05,soybean
303,5.95,1.2272E-05,soybean
304,5.95,1.2272E-05,soybean
305,5.5,0.000220897,soybean
306,5.5,0.000147265,soybean
307,5.5,3.68161E-05,soybean
308,5.33,0.003337997,soybean
309,5.33,0.003068012,soybean
310,5.33,0.000429522,soybean
311,5.33,0.000147265,soybean
312,5.26,0.000306801,soybean
313,5.26,0.000306801,soybean
314,5.26,0.000171809,soybean
315,5.26,0.000159537,soybean
316,5.26,0.000134993,soybean
317,5.26,0.000110448,soybean
318,5.26,0.000110448,soybean
319,5.26,9.81764E-05,soybean
320,5.26,9.81764E-05,soybean
321,5.26,8.59043E-05,soybean
322,5.26,7.36323E-05,soybean
323,5.26,7.36323E-05,soybean
324,5.26,6.13602E-05,soybean
325,5.26,4.90882E-05,soybean
326,5.26,3.68161E-05,soybean
327,5.14,0.000319073,soybean
328,5.14,0.000257713,soybean
329,5.14,3.68161E-05,soybean
330,5.01,0.011670716,soybean
331,5.01,0.001411285,soybean
332,5.01,0.000208625,soybean
333,5.01,0.000208625,soybean
334,5.01,0.000159537,soybean
335,5.01,0.000147265,soybean
336,5.01,0.000134993,soybean
337,5.01,6.13602E-05,soybean
338,5.01,3.68161E-05,soybean
339,5.01,2.45441E-05,soybean
340,5.01,2.45441E-05,soybean
341,5,0.001754903,soybean
342,5,0.001153572,soybean
343,5,0.000662691,soybean
344,5,0.00047861,soybean
345,5,2.45441E-05,soybean
346,4.75,0.000343617,soybean
347,4.75,0.000294529,soybean
348,4.62,8.59043E-05,soybean
349,4.62,7.36323E-05,soybean
350,4.62,7.36323E-05,soybean
351,4.62,4.90882E-05,soybean
352,4.62,4.90882E-05,soybean
353,4.62,3.68161E-05,soybean
354,4.62,3.68161E-05,soybean
355,4.62,2.45441E-05,soybean
356,4.5,0.000343617,soybean
357,4.5,0.000282257,soybean
358,4.5,0.000147265,soybean
359,4.5,0.000110448,soybean
360,4.5,6.13602E-05,soybean
361,4.5,6.13602E-05,soybean
362,4.5,2.45441E-05,soybean
363,4.39,0.002724394,soybean
364,4.39,0.001116756,soybean
365,4.39,0.001104484,soybean
366,4.39,0.000994036,soybean
367,4.39,0.000895859,soybean
368,4.39,0.000883587,soybean
369,4.39,0.000699507,soybean
370,4.39,0.000589058,soybean
371,4.39,0.000269985,soybean
372,4.39,0.000208625,soybean
373,4.39,0.000196353,soybean
374,4.39,0.000196353,soybean
375,4.39,0.000171809,soybean
376,4.39,0.000134993,soybean
377,4.39,0.00012272,soybean
378,4.39,9.81764E-05,soybean
379,4.39,9.81764E-05,soybean
380,4.39,8.59043E-05,soybean
381,4.39,6.13602E-05,soybean
382,4.39,6.13602E-05,soybean
383,4.39,6.13602E-05,soybean
384,4.39,4.90882E-05,soybean
385,4.39,4.90882E-05,soybean
386,4.39,4.90882E-05,soybean
387,4.39,4.90882E-05,soybean
388,4.39,4.90882E-05,soybean
389,4.39,3.68161E-05,soybean
390,4.39,3.68161E-05,soybean
391,4.39,3.68161E-05,soybean
392,4.39,3.68161E-05,soybean
393,4.39,3.68161E-05,soybean
394,4.39,3.68161E-05,soybean
395,4.39,3.68161E-05,soybean
396,4.39,3.68161E-05,soybean
397,4.39,3.68161E-05,soybean
398,4.39,2.45441E-05,soybean
399,4.39,2.45441E-05,soybean
400,4.39,2.45441E-05,soybean
401,4.39,1.2272E-05,soybean
402,4.33,6.13602E-05,soybean
403,4.06,0.000294529,soybean
404,4.06,9.81764E-05,soybean
405,4.06,8.59043E-05,soybean
406,4.06,7.36323E-05,soybean
407,4.06,6.13602E-05,soybean
408,4.06,4.90882E-05,soybean
409,4.06,1.2272E-05,soybean
410,4.06,1.2272E-05,soybean
411,4,0.011977518,soybean
412,4,0.001190389,soybean
413,4,0.000797683,soybean
414,4,0.000760867,soybean
415,4,0.000638146,soybean
416,4,0.000490882,soybean
417,4,0.000429522,soybean
418,4,0.000392705,soybean
419,4,0.000306801,soybean
420,4,0.000294529,soybean
421,4,0.000294529,soybean
422,4,0.000269985,soybean
423,4,0.000208625,soybean
424,4,0.000147265,soybean
425,4,0.000147265,soybean
426,4,0.000134993,soybean
427,4,0.00012272,soybean
428,4,9.81764E-05,soybean
