ID,rrn ,ave,group
1730,12,0.001556316,maize
1731,12,7.41103E-05,maize
1732,10.86,0.009886315,maize
1733,10.86,0.004935746,maize
1734,10.86,0.002460462,maize
1735,10.86,0.001585961,maize
1736,10.86,0.001393274,maize
1737,10.86,0.00136363,maize
1738,10.86,0.001230231,maize
1739,10.86,0.001185765,maize
1740,10.86,0.001022722,maize
1741,10.86,0.000681815,maize
1742,10.86,0.000489128,maize
1743,10.86,0.000474306,maize
1744,10.86,0.000474306,maize
1745,10.86,0.000459484,maize
1746,10.86,0.000415018,maize
1747,10.86,0.000400196,maize
1748,10.86,0.000370552,maize
1749,10.86,0.000340907,maize
1750,10.86,0.000326085,maize
1751,10.86,0.000311263,maize
1752,10.86,0.000311263,maize
1753,10.86,0.000281619,maize
1754,10.86,0.000251975,maize
1755,10.86,0.000237153,maize
1756,10.86,0.000237153,maize
1757,10.86,0.000222331,maize
1758,10.86,0.000207509,maize
1759,10.86,0.000192687,maize
1760,10.86,0.000177865,maize
1761,10.86,0.000177865,maize
1762,10.86,0.000133399,maize
1763,10.86,0.000133399,maize
1764,10.86,0.000103754,maize
1765,10.86,0.000103754,maize
1766,10.86,0.000103754,maize
1767,10.86,8.89324E-05,maize
1768,10.86,7.41103E-05,maize
1769,10.86,7.41103E-05,maize
1770,10.86,7.41103E-05,maize
1771,10.86,4.44662E-05,maize
1772,10.86,4.44662E-05,maize
1773,10.86,2.96441E-05,maize
1774,10.65,0.027346703,maize
1775,10.65,0.012391243,maize
1776,10.65,0.009515763,maize
1777,10.65,0.008522685,maize
1778,10.65,0.006551351,maize
1779,10.65,0.005098789,maize
1780,10.65,0.005083967,maize
1781,10.65,0.005009857,maize
1782,10.65,0.004594839,maize
1783,10.65,0.004580017,maize
1784,10.65,0.004016779,maize
1785,10.65,0.003646227,maize
1786,10.65,0.00337943,maize
1787,10.65,0.003231209,maize
1788,10.65,0.003186743,maize
1789,10.65,0.003053345,maize
1790,10.65,0.0030237,maize
1791,10.65,0.002979234,maize
1792,10.65,0.002979234,maize
1793,10.65,0.002178843,maize
1794,10.65,0.002030622,maize
1795,10.65,0.0020158,maize
1796,10.65,0.001926868,maize
1797,10.65,0.001452562,maize
1798,10.65,0.001348808,maize
1799,10.65,0.001259875,maize
1800,10.65,0.001096833,maize
1801,10.65,0.001022722,maize
1802,10.65,0.000978256,maize
1803,10.65,0.000889324,maize
1804,10.65,0.000830035,maize
1805,10.65,0.000785569,maize
1806,10.65,0.000770747,maize
1807,10.65,0.000592882,maize
1808,10.65,0.00057806,maize
1809,10.65,0.000548416,maize
1810,10.65,0.00050395,maize
1811,10.65,0.000474306,maize
1812,10.65,0.000459484,maize
1813,10.65,0.00042984,maize
1814,10.65,0.00042984,maize
1815,10.65,0.000415018,maize
1816,10.65,0.000311263,maize
1817,10.65,0.000296441,maize
1818,10.65,0.000296441,maize
1819,10.65,0.000296441,maize
1820,10.65,0.000251975,maize
1821,10.65,0.000237153,maize
1822,10.65,0.000237153,maize
1823,10.65,0.000222331,maize
1824,10.65,0.000222331,maize
1825,10.65,0.000207509,maize
1826,10.65,0.000177865,maize
1827,10.65,0.000177865,maize
1828,10.65,0.000177865,maize
1829,10.65,0.000177865,maize
1830,10.65,0.000163043,maize
1831,10.65,0.000163043,maize
1832,10.65,0.000163043,maize
1833,10.65,0.000163043,maize
1834,10.65,0.000163043,maize
1835,10.65,0.000148221,maize
1836,10.65,0.000148221,maize
1837,10.65,0.000148221,maize
1838,10.65,0.000148221,maize
1839,10.65,0.000133399,maize
1840,10.65,0.000133399,maize
1841,10.65,0.000118576,maize
1842,10.65,0.000118576,maize
1843,10.65,0.000118576,maize
1844,10.65,0.000118576,maize
1845,10.65,0.000103754,maize
1846,10.65,0.000103754,maize
1847,10.65,0.000103754,maize
1848,10.65,0.000103754,maize
1849,10.65,0.000103754,maize
1850,10.65,0.000103754,maize
1851,10.65,8.89324E-05,maize
1852,10.65,8.89324E-05,maize
1853,10.65,8.89324E-05,maize
1854,10.65,7.41103E-05,maize
1855,10.65,7.41103E-05,maize
1856,10.65,7.41103E-05,maize
1857,10.65,7.41103E-05,maize
1858,10.65,7.41103E-05,maize
1859,10.65,7.41103E-05,maize
1860,10.65,7.41103E-05,maize
1861,10.65,5.92882E-05,maize
1862,10.65,5.92882E-05,maize
1863,10.65,5.92882E-05,maize
1864,10.65,5.92882E-05,maize
1865,10.65,5.92882E-05,maize
1866,10.65,5.92882E-05,maize
1867,10.65,5.92882E-05,maize
1868,10.65,4.44662E-05,maize
1869,10.65,4.44662E-05,maize
1870,10.65,4.44662E-05,maize
1871,10.65,4.44662E-05,maize
1872,10.65,4.44662E-05,maize
1873,10.65,4.44662E-05,maize
1874,10.65,4.44662E-05,maize
1875,10.65,4.44662E-05,maize
1876,10.65,4.44662E-05,maize
1877,10.65,4.44662E-05,maize
1878,10.65,4.44662E-05,maize
1879,10.65,4.44662E-05,maize
1880,10.65,2.96441E-05,maize
1881,10.65,2.96441E-05,maize
1882,10.65,1.48221E-05,maize
1883,10.65,1.48221E-05,maize
1884,10.65,1.48221E-05,maize
1885,10,0.008478219,maize
1886,10,0.002994056,maize
1887,10,0.002149199,maize
1888,10,0.001660071,maize
1889,10,0.001660071,maize
1890,10,0.001408096,maize
1891,10,0.001037544,maize
1892,10,0.00057806,maize
1893,10,0.000563238,maize
1894,10,0.000489128,maize
1895,10,0.000459484,maize
1896,10,0.00042984,maize
1897,10,0.00042984,maize
1898,10,0.000415018,maize
1899,10,0.000326085,maize
1900,10,0.000281619,maize
1901,10,0.000281619,maize
1902,10,0.000222331,maize
1903,10,0.000222331,maize
1904,10,0.000163043,maize
1905,10,0.000133399,maize
1906,10,0.000133399,maize
1907,10,0.000118576,maize
1908,10,0.000103754,maize
1909,10,8.89324E-05,maize
1910,10,8.89324E-05,maize
1911,10,5.92882E-05,maize
1912,10,4.44662E-05,maize
1913,10,2.96441E-05,maize
1914,10,1.48221E-05,maize
1915,9,0.001482206,maize
1916,9,0.000163043,maize
1917,9,8.89324E-05,maize
1918,9,8.89324E-05,maize
1919,8,0.0010079,maize
1920,8,5.92882E-05,maize
1921,7.88,0.000340907,maize
1922,7.78,0.001348808,maize
1923,7.78,0.000385374,maize
1924,7.78,0.000355729,maize
1925,7.78,0.000222331,maize
1926,7.78,0.000207509,maize
1927,7.78,0.000207509,maize
1928,7.78,0.000192687,maize
1929,7.78,0.000118576,maize
1930,7.78,0.000118576,maize
1931,7.78,0.000103754,maize
1932,7.78,8.89324E-05,maize
1933,7.78,8.89324E-05,maize
1934,7.78,5.92882E-05,maize
1935,7.78,5.92882E-05,maize
1936,7.78,5.92882E-05,maize
1937,7.78,4.44662E-05,maize
1938,7.78,4.44662E-05,maize
1939,7.78,4.44662E-05,maize
1940,7.78,4.44662E-05,maize
1941,7.78,2.96441E-05,maize
1942,7.78,2.96441E-05,maize
1943,7.78,2.96441E-05,maize
1944,7.48,0.000370552,maize
1945,7.48,5.92882E-05,maize
1946,7.25,0.000518772,maize
1947,7.25,0.000340907,maize
1948,7.25,0.000133399,maize
1949,7.25,7.41103E-05,maize
1950,7.25,7.41103E-05,maize
1951,7,0.000355729,maize
1952,7,0.000251975,maize
1953,7,0.000118576,maize
1954,7,0.000103754,maize
1955,7,4.44662E-05,maize
1956,6.67,0.000592882,maize
1957,6.67,0.000163043,maize
1958,6.67,4.44662E-05,maize
1959,6.4,0.002905124,maize
1960,6.4,0.001852758,maize
1961,6.4,0.001734181,maize
1962,6.4,0.001111655,maize
1963,6.4,0.000785569,maize
1964,6.4,0.000770747,maize
1965,6.4,0.000666993,maize
1966,6.4,0.00050395,maize
1967,6.4,0.00050395,maize
1968,6.4,0.00042984,maize
1969,6.4,0.000400196,maize
1970,6.4,0.000370552,maize
1971,6.4,0.000311263,maize
1972,6.4,0.000296441,maize
1973,6.4,0.000281619,maize
1974,6.4,0.000192687,maize
1975,6.4,0.000192687,maize
1976,6.4,0.000192687,maize
1977,6.4,0.000177865,maize
1978,6.4,0.000163043,maize
1979,6.4,0.000148221,maize
1980,6.4,0.000133399,maize
1981,6.4,0.000133399,maize
1982,6.4,0.000133399,maize
1983,6.4,0.000118576,maize
1984,6.4,0.000118576,maize
1985,6.4,0.000103754,maize
1986,6.4,0.000103754,maize
1987,6.4,0.000103754,maize
1988,6.4,8.89324E-05,maize
1989,6.4,8.89324E-05,maize
1990,6.4,7.41103E-05,maize
1991,6.4,7.41103E-05,maize
1992,6.4,5.92882E-05,maize
1993,6.4,5.92882E-05,maize
1994,6.4,5.92882E-05,maize
1995,6.4,5.92882E-05,maize
1996,6.4,5.92882E-05,maize
1997,6.4,5.92882E-05,maize
1998,6.4,4.44662E-05,maize
1999,6.4,4.44662E-05,maize
2000,6.4,4.44662E-05,maize
2001,6.4,4.44662E-05,maize
2002,6.4,2.96441E-05,maize
2003,6.4,2.96441E-05,maize
2004,6.08,0.000281619,maize
2005,6.08,0.000251975,maize
2006,6.08,0.000118576,maize
2007,6.08,0.000118576,maize
2008,6.08,0.000103754,maize
2009,6,0.001111655,maize
2010,6,0.000755925,maize
2011,6,0.000474306,maize
2012,6,0.000459484,maize
2013,6,0.00042984,maize
2014,6,0.000400196,maize
2015,6,0.000237153,maize
2016,6,0.000148221,maize
2017,6,7.41103E-05,maize
2018,6,5.92882E-05,maize
2019,6,5.92882E-05,maize
2020,6,5.92882E-05,maize
2021,6,4.44662E-05,maize
2022,6,2.96441E-05,maize
2023,6,1.48221E-05,maize
2024,5.95,0.001808291,maize
2025,5.95,0.00136363,maize
2026,5.95,0.001348808,maize
2027,5.95,0.001259875,maize
2028,5.95,0.001096833,maize
2029,5.95,0.000889324,maize
2030,5.95,0.000844857,maize
2031,5.95,0.000830035,maize
2032,5.95,0.000800391,maize
2033,5.95,0.000770747,maize
2034,5.95,0.000681815,maize
2035,5.95,0.000444662,maize
2036,5.95,0.000415018,maize
2037,5.95,0.000355729,maize
2038,5.95,0.000311263,maize
2039,5.95,0.000266797,maize
2040,5.95,0.000237153,maize
2041,5.95,0.000222331,maize
2042,5.95,0.000222331,maize
2043,5.95,0.000207509,maize
2044,5.95,0.000163043,maize
2045,5.95,0.000103754,maize
2046,5.95,0.000103754,maize
2047,5.95,7.41103E-05,maize
2048,5.95,7.41103E-05,maize
2049,5.95,7.41103E-05,maize
2050,5.95,5.92882E-05,maize
2051,5.95,5.92882E-05,maize
2052,5.95,5.92882E-05,maize
2053,5.95,4.44662E-05,maize
2054,5.95,4.44662E-05,maize
2055,5.95,4.44662E-05,maize
2056,5.95,4.44662E-05,maize
2057,5.95,4.44662E-05,maize
2058,5.95,2.96441E-05,maize
2059,5.5,0.000370552,maize
2060,5.5,0.000177865,maize
2061,5.5,4.44662E-05,maize
2062,5.33,0.033423748,maize
2063,5.33,0.025049283,maize
2064,5.33,0.002297419,maize
2065,5.33,0.001230231,maize
2066,5.33,0.000533594,maize
2067,5.33,0.00042984,maize
2068,5.33,0.000400196,maize
2069,5.33,8.89324E-05,maize
2070,5.33,7.41103E-05,maize
2071,5.26,0.000118576,maize
2072,5.26,8.89324E-05,maize
2073,5.26,7.41103E-05,maize
2074,5.26,7.41103E-05,maize
2075,5.26,7.41103E-05,maize
2076,5.26,5.92882E-05,maize
2077,5.26,5.92882E-05,maize
2078,5.26,5.92882E-05,maize
2079,5.26,5.92882E-05,maize
2080,5.26,4.44662E-05,maize
2081,5.26,2.96441E-05,maize
2082,5.26,2.96441E-05,maize
2083,5.14,0.000118576,maize
2084,5.14,5.92882E-05,maize
2085,5.01,0.004609661,maize
2086,5.01,0.000666993,maize
2087,5.01,0.000607705,maize
2088,5.01,0.000385374,maize
2089,5.01,0.000385374,maize
2090,5.01,0.000340907,maize
2091,5.01,8.89324E-05,maize
2092,5.01,5.92882E-05,maize
2093,5.01,5.92882E-05,maize
2094,5.01,4.44662E-05,maize
2095,5.01,4.44662E-05,maize
2096,5,0.002816192,maize
2097,5,0.002386352,maize
2098,5,0.002119555,maize
2099,5,0.002030622,maize
2100,5,0.00057806,maize
2101,5,0.000118576,maize
2102,5,0.000103754,maize
2103,5,7.41103E-05,maize
2104,5,4.44662E-05,maize
2105,5,2.96441E-05,maize
