ID,rrn ,ave,group
3811,11.93,8.03741E-07,mice
3812,11.93,8.03741E-07,mice
3813,11.93,8.03741E-07,mice
3814,11.93,8.03741E-07,mice
3815,11.93,8.03741E-07,mice
3816,11,8.03741E-07,mice
3817,10.62,8.03741E-07,mice
3818,10.62,8.03741E-07,mice
3819,10.01,3.21496E-06,mice
3820,10.01,1.60748E-06,mice
3821,10.01,8.03741E-07,mice
3822,10.01,8.03741E-07,mice
3823,10.01,8.03741E-07,mice
3824,10.01,8.03741E-07,mice
3825,10.01,8.03741E-07,mice
3826,10.01,8.03741E-07,mice
3827,10,8.03741E-07,mice
3828,8.79,7.63554E-05,mice
3829,8.79,2.08973E-05,mice
3830,8.79,5.62619E-06,mice
3831,8.79,4.82245E-06,mice
3832,8.79,4.0187E-06,mice
3833,8.79,3.21496E-06,mice
3834,8.79,3.21496E-06,mice
3835,8.79,2.41122E-06,mice
3836,8.79,2.41122E-06,mice
3837,8.79,1.60748E-06,mice
3838,8.79,1.60748E-06,mice
3839,8.79,1.60748E-06,mice
3840,8.79,8.03741E-07,mice
3841,8.79,8.03741E-07,mice
3842,8.79,8.03741E-07,mice
3843,8.79,8.03741E-07,mice
3844,8.79,8.03741E-07,mice
3845,8.79,8.03741E-07,mice
3846,8.79,8.03741E-07,mice
3847,8.79,8.03741E-07,mice
3848,8.79,8.03741E-07,mice
3849,8.79,8.03741E-07,mice
3850,8.79,8.03741E-07,mice
3851,8.79,8.03741E-07,mice
3852,8.79,8.03741E-07,mice
3853,8.79,8.03741E-07,mice
3854,8.79,8.03741E-07,mice
3855,8.79,8.03741E-07,mice
3856,8.79,8.03741E-07,mice
3857,8.79,8.03741E-07,mice
3858,8.79,8.03741E-07,mice
3859,8.79,8.03741E-07,mice
3860,8.79,8.03741E-07,mice
3861,8.79,8.03741E-07,mice
3862,8.79,8.03741E-07,mice
3863,8.79,8.03741E-07,mice
3864,8.79,8.03741E-07,mice
3865,8.79,8.03741E-07,mice
3866,7.84,3.21496E-06,mice
3867,7.84,2.41122E-06,mice
3868,7.84,8.03741E-07,mice
3869,7.84,8.03741E-07,mice
3870,7,0.00230111,mice
3871,7,0.000975741,mice
3872,7,0.000397852,mice
3873,7,0.000207365,mice
3874,7,0.000171197,mice
3875,7,0.000106898,mice
3876,7,7.63554E-05,mice
3877,7,5.46544E-05,mice
3878,7,5.22432E-05,mice
3879,7,4.25983E-05,mice
3880,7,4.17945E-05,mice
3881,7,2.81309E-05,mice
3882,7,1.76823E-05,mice
3883,7,1.36636E-05,mice
3884,7,1.36636E-05,mice
3885,7,1.20561E-05,mice
3886,7,1.20561E-05,mice
3887,7,1.12524E-05,mice
3888,7,1.12524E-05,mice
3889,7,1.04486E-05,mice
3890,7,9.64489E-06,mice
3891,7,9.64489E-06,mice
3892,7,8.84115E-06,mice
3893,7,7.23367E-06,mice
3894,7,7.23367E-06,mice
3895,7,7.23367E-06,mice
3896,7,6.42993E-06,mice
3897,7,6.42993E-06,mice
3898,7,5.62619E-06,mice
3899,7,5.62619E-06,mice
3900,7,5.62619E-06,mice
3901,7,4.82245E-06,mice
3902,7,4.82245E-06,mice
3903,7,4.82245E-06,mice
3904,7,4.0187E-06,mice
3905,7,4.0187E-06,mice
3906,7,4.0187E-06,mice
3907,7,4.0187E-06,mice
3908,7,4.0187E-06,mice
3909,7,4.0187E-06,mice
3910,7,4.0187E-06,mice
3911,7,3.21496E-06,mice
3912,7,3.21496E-06,mice
3913,7,3.21496E-06,mice
3914,7,3.21496E-06,mice
3915,7,2.41122E-06,mice
3916,7,2.41122E-06,mice
3917,7,2.41122E-06,mice
3918,7,2.41122E-06,mice
3919,7,2.41122E-06,mice
3920,7,2.41122E-06,mice
3921,7,2.41122E-06,mice
3922,7,2.41122E-06,mice
3923,7,1.60748E-06,mice
3924,7,1.60748E-06,mice
3925,7,1.60748E-06,mice
3926,7,1.60748E-06,mice
3927,7,1.60748E-06,mice
3928,7,1.60748E-06,mice
3929,7,1.60748E-06,mice
3930,7,1.60748E-06,mice
3931,7,1.60748E-06,mice
3932,7,1.60748E-06,mice
3933,7,1.60748E-06,mice
3934,7,1.60748E-06,mice
3935,7,1.60748E-06,mice
3936,7,1.60748E-06,mice
3937,7,1.60748E-06,mice
3938,7,1.60748E-06,mice
3939,7,1.60748E-06,mice
3940,7,1.60748E-06,mice
3941,7,1.60748E-06,mice
3942,7,1.60748E-06,mice
3943,7,1.60748E-06,mice
3944,7,1.60748E-06,mice
3945,7,8.03741E-07,mice
3946,7,8.03741E-07,mice
3947,7,8.03741E-07,mice
3948,7,8.03741E-07,mice
3949,7,8.03741E-07,mice
3950,7,8.03741E-07,mice
3951,7,8.03741E-07,mice
3952,7,8.03741E-07,mice
3953,7,8.03741E-07,mice
3954,7,8.03741E-07,mice
3955,7,8.03741E-07,mice
3956,7,8.03741E-07,mice
3957,7,8.03741E-07,mice
3958,7,8.03741E-07,mice
