ID,rrn ,ave,group
33634,10.01,4.86031E-06,human
33635,8,4.86031E-06,human
33636,8,7.29047E-06,human
33637,8,1.45809E-05,human
33638,8,7.29047E-06,human
33639,8,1.94413E-05,human
33640,8,2.43016E-06,human
33641,7.94,1.21508E-05,human
33642,7.94,2.43016E-06,human
33643,7.94,2.43016E-06,human
33644,7.75,7.29047E-06,human
33645,7.75,4.86031E-06,human
33646,7.75,4.86031E-06,human
33647,7.75,4.86031E-06,human
33648,7.75,4.86031E-06,human
33649,7.75,4.86031E-06,human
33650,7.75,4.86031E-06,human
33651,7.75,4.86031E-06,human
33652,7.75,4.86031E-06,human
33653,7.75,9.72063E-06,human
33654,7.75,4.86031E-06,human
33655,7.75,4.86031E-06,human
33656,7.75,2.43016E-06,human
33657,7.75,2.43016E-06,human
33658,7.75,2.43016E-06,human
33659,7.75,2.43016E-06,human
33660,7.75,2.43016E-06,human
33661,7.75,2.43016E-06,human
33662,7.75,2.43016E-06,human
33663,7.75,2.43016E-06,human
33664,7.75,2.43016E-06,human
33665,7.75,3.88825E-05,human
33666,7.75,2.43016E-06,human
33667,7.75,0.000240586,human
33668,7.33,4.86031E-06,human
33669,7.17,7.29047E-06,human
33670,7,7.29047E-06,human
33671,7,4.86031E-06,human
33672,7,2.43016E-05,human
33673,7,7.29047E-06,human
33674,7,9.72063E-06,human
33675,7,1.45809E-05,human
33676,7,9.72063E-06,human
33677,7,9.72063E-06,human
33678,7,9.72063E-06,human
33679,7,1.21508E-05,human
33680,7,4.86031E-06,human
33681,7,4.86031E-06,human
33682,7,1.21508E-05,human
33683,7,4.86031E-06,human
33684,7,7.29047E-06,human
33685,7,1.45809E-05,human
33686,7,2.18714E-05,human
33687,7,4.86031E-06,human
33688,7,7.29047E-06,human
33689,7,1.21508E-05,human
33690,7,7.29047E-06,human
33691,7,4.86031E-06,human
33692,7,2.43016E-06,human
33693,7,2.43016E-06,human
33694,7,2.43016E-06,human
33695,7,2.43016E-06,human
33696,7,2.43016E-06,human
33697,7,2.43016E-06,human
33698,7,2.43016E-06,human
33699,7,7.29047E-06,human
33700,7,4.86031E-06,human
33701,7,2.43016E-06,human
33702,7,2.43016E-06,human
33703,7,2.43016E-06,human
33704,7,2.43016E-06,human
33705,7,2.43016E-06,human
33706,7,2.43016E-06,human
33707,7,4.86031E-06,human
33708,7,2.43016E-06,human
33709,7,2.43016E-06,human
33710,7,2.43016E-06,human
33711,7,2.18714E-05,human
33712,7,0.000136089,human
33713,7,0.000111787,human
33714,7,2.43016E-06,human
33715,7,2.43016E-06,human
33716,7,4.86031E-06,human
33717,7,2.43016E-06,human
33718,7,2.43016E-06,human
33719,7,2.43016E-06,human
33720,7,2.43016E-06,human
33721,7,2.43016E-06,human
33722,7,2.43016E-06,human
33723,7,2.43016E-06,human
33724,7,2.43016E-06,human
33725,7,2.43016E-06,human
33726,7,2.43016E-06,human
33727,7,2.43016E-06,human
33728,7,4.86031E-06,human
33729,7,2.67317E-05,human
33730,7,1.21508E-05,human
33731,7,9.72063E-06,human
33732,7,7.29047E-06,human
33733,7,1.70111E-05,human
33734,7,7.29047E-06,human
33735,7,2.43016E-05,human
33736,7,9.72063E-06,human
33737,7,9.72063E-06,human
33738,7,2.43016E-05,human
33739,7,4.86031E-06,human
33740,7,1.21508E-05,human
33741,7,9.72063E-06,human
33742,7,1.70111E-05,human
33743,7,7.29047E-06,human
33744,7,4.86031E-06,human
33745,7,9.72063E-06,human
33746,7,9.72063E-06,human
33747,7,2.43016E-06,human
33748,7,7.29047E-06,human
33749,7,2.43016E-06,human
33750,7,4.86031E-06,human
33751,7,2.43016E-06,human
33752,7,2.43016E-06,human
33753,7,7.29047E-06,human
33754,7,7.29047E-06,human
33755,7,4.86031E-06,human
33756,7,2.43016E-06,human
33757,7,2.43016E-06,human
33758,7,2.43016E-06,human
33759,7,2.43016E-06,human
33760,7,4.86031E-06,human
33761,7,2.43016E-06,human
33762,7,7.29047E-06,human
33763,7,4.86031E-06,human
33764,7,4.86031E-06,human
33765,7,2.43016E-06,human
33766,7,2.43016E-06,human
33767,7,2.43016E-06,human
33768,7,2.43016E-06,human
33769,7,4.13127E-05,human
33770,7,2.43016E-06,human
33771,7,2.43016E-06,human
33772,7,2.67317E-05,human
33773,7,2.43016E-06,human
33774,7,2.43016E-06,human
33775,7,2.43016E-06,human
33776,7,2.43016E-06,human
33777,7,2.43016E-06,human
33778,7,2.43016E-06,human
