ID,Phylum
MAASV3004,Unassigned
MAASV1567,Unassigned
MAASV2384,Unassigned
SASV1222,Unassigned
SASV1440,Unassigned
SASV1816,Unassigned
SASV2007,Unassigned
SASV2194,Unassigned
SASV2542,Unassigned
MAASV4,Proteobacteria
MAASV18,Proteobacteria
MAASV27,Proteobacteria
MAASV34,Proteobacteria
MAASV12,Proteobacteria
MAASV38,Proteobacteria
MAASV64,Proteobacteria
MAASV40,Proteobacteria
MAASV93,Proteobacteria
MAASV35,Proteobacteria
MAASV82,Proteobacteria
MAASV2,Proteobacteria
MAASV90,Proteobacteria
MAASV151,Proteobacteria
MAASV143,Proteobacteria
MAASV120,Proteobacteria
MAASV172,Proteobacteria
MAASV28,Proteobacteria
MAASV161,Proteobacteria
MAASV57,Proteobacteria
MAASV121,Proteobacteria
MAASV164,Proteobacteria
MAASV108,Proteobacteria
MAASV129,Proteobacteria
MAASV140,Proteobacteria
MAASV184,Proteobacteria
MAASV106,Proteobacteria
MAASV171,Proteobacteria
MAASV102,Proteobacteria
MAASV242,Proteobacteria
MAASV138,Proteobacteria
MAASV173,Proteobacteria
MAASV191,Proteobacteria
MAASV301,Proteobacteria
MAASV207,Proteobacteria
MAASV58,Proteobacteria
MAASV190,Proteobacteria
MAASV181,Proteobacteria
MAASV158,Proteobacteria
MAASV354,Proteobacteria
MAASV249,Proteobacteria
MAASV223,Proteobacteria
MAASV252,Proteobacteria
MAASV196,Proteobacteria
MAASV365,Proteobacteria
MAASV360,Proteobacteria
MAASV206,Proteobacteria
MAASV128,Proteobacteria
MAASV271,Proteobacteria
MAASV282,Proteobacteria
MAASV110,Proteobacteria
MAASV455,Proteobacteria
MAASV131,Proteobacteria
MAASV73,Proteobacteria
MAASV372,Proteobacteria
MAASV315,Proteobacteria
MAASV241,Proteobacteria
MAASV329,Proteobacteria
MAASV193,Proteobacteria
MAASV411,Proteobacteria
MAASV453,Proteobacteria
MAASV500,Proteobacteria
MAASV256,Proteobacteria
MAASV346,Proteobacteria
MAASV511,Proteobacteria
MAASV235,Proteobacteria
MAASV168,Proteobacteria
MAASV471,Proteobacteria
MAASV546,Proteobacteria
MAASV163,Proteobacteria
MAASV325,Proteobacteria
MAASV323,Proteobacteria
MAASV475,Proteobacteria
MAASV569,Proteobacteria
MAASV292,Proteobacteria
MAASV487,Proteobacteria
MAASV245,Proteobacteria
MAASV508,Proteobacteria
MAASV72,Proteobacteria
MAASV536,Proteobacteria
MAASV16,Proteobacteria
MAASV424,Proteobacteria
MAASV215,Proteobacteria
MAASV594,Proteobacteria
MAASV157,Proteobacteria
MAASV557,Proteobacteria
MAASV342,Proteobacteria
MAASV210,Proteobacteria
MAASV484,Proteobacteria
MAASV619,Proteobacteria
MAASV302,Proteobacteria
MAASV629,Proteobacteria
MAASV319,Proteobacteria
MAASV507,Proteobacteria
MAASV653,Proteobacteria
MAASV533,Proteobacteria
MAASV304,Proteobacteria
MAASV236,Proteobacteria
MAASV217,Proteobacteria
MAASV693,Proteobacteria
MAASV691,Proteobacteria
MAASV423,Proteobacteria
MAASV560,Proteobacteria
MAASV278,Proteobacteria
MAASV703,Proteobacteria
MAASV488,Proteobacteria
MAASV402,Proteobacteria
MAASV417,Proteobacteria
MAASV751,Proteobacteria
MAASV772,Proteobacteria
MAASV771,Proteobacteria
MAASV441,Proteobacteria
MAASV580,Proteobacteria
MAASV787,Proteobacteria
MAASV794,Proteobacteria
MAASV812,Proteobacteria
MAASV814,Proteobacteria
MAASV575,Proteobacteria
MAASV854,Proteobacteria
MAASV852,Proteobacteria
MAASV272,Proteobacteria
MAASV107,Proteobacteria
MAASV856,Proteobacteria
MAASV883,Proteobacteria
MAASV879,Proteobacteria
MAASV897,Proteobacteria
MAASV904,Proteobacteria
MAASV929,Proteobacteria
MAASV970,Proteobacteria
MAASV824,Proteobacteria
MAASV961,Proteobacteria
MAASV972,Proteobacteria
MAASV958,Proteobacteria
MAASV743,Proteobacteria
MAASV999,Proteobacteria
MAASV522,Proteobacteria
MAASV376,Proteobacteria
MAASV781,Proteobacteria
MAASV549,Proteobacteria
MAASV1042,Proteobacteria
MAASV159,Proteobacteria
MAASV449,Proteobacteria
MAASV731,Proteobacteria
MAASV578,Proteobacteria
MAASV634,Proteobacteria
MAASV1044,Proteobacteria
MAASV1046,Proteobacteria
MAASV673,Proteobacteria
MAASV1063,Proteobacteria
MAASV1065,Proteobacteria
MAASV1092,Proteobacteria
MAASV1130,Proteobacteria
MAASV1185,Proteobacteria
MAASV940,Proteobacteria
MAASV851,Proteobacteria
MAASV872,Proteobacteria
MAASV1206,Proteobacteria
MAASV1182,Proteobacteria
MAASV1256,Proteobacteria
MAASV444,Proteobacteria
MAASV1241,Proteobacteria
MAASV1319,Proteobacteria
MAASV1314,Proteobacteria
MAASV1318,Proteobacteria
MAASV1329,Proteobacteria
MAASV1398,Proteobacteria
MAASV1417,Proteobacteria
MAASV1388,Proteobacteria
MAASV672,Proteobacteria
MAASV1428,Proteobacteria
MAASV1383,Proteobacteria
MAASV313,Proteobacteria
MAASV1386,Proteobacteria
MAASV1472,Proteobacteria
MAASV1499,Proteobacteria
MAASV1612,Proteobacteria
MAASV1582,Proteobacteria
MAASV298,Proteobacteria
MAASV1570,Proteobacteria
MAASV1568,Proteobacteria
MAASV1574,Proteobacteria
MAASV1569,Proteobacteria
MAASV1580,Proteobacteria
MAASV1618,Proteobacteria
MAASV1607,Proteobacteria
MAASV1686,Proteobacteria
MAASV1728,Proteobacteria
MAASV1691,Proteobacteria
MAASV1747,Proteobacteria
MAASV1702,Proteobacteria
MAASV1757,Proteobacteria
MAASV1723,Proteobacteria
MAASV1718,Proteobacteria
MAASV1699,Proteobacteria
MAASV1758,Proteobacteria
MAASV1840,Proteobacteria
MAASV1846,Proteobacteria
MAASV1899,Proteobacteria
MAASV1850,Proteobacteria
MAASV613,Proteobacteria
MAASV2047,Proteobacteria
MAASV2148,Proteobacteria
MAASV291,Proteobacteria
MAASV2165,Proteobacteria
MAASV502,Proteobacteria
MAASV2079,Proteobacteria
MAASV2417,Proteobacteria
MAASV2355,Proteobacteria
MAASV2411,Proteobacteria
MAASV2342,Proteobacteria
MAASV2450,Proteobacteria
MAASV2350,Proteobacteria
MAASV2517,Proteobacteria
MAASV2455,Proteobacteria
MAASV2490,Proteobacteria
MAASV3001,Proteobacteria
MAASV2914,Proteobacteria
MAASV2798,Proteobacteria
MAASV3088,Proteobacteria
MAASV3055,Proteobacteria
MAASV2804,Proteobacteria
MAASV3040,Proteobacteria
MAASV3067,Proteobacteria
SASV2,Proteobacteria
SASV4,Proteobacteria
SASV13,Proteobacteria
SASV16,Proteobacteria
SASV12,Proteobacteria
SASV28,Proteobacteria
SASV18,Proteobacteria
SASV47,Proteobacteria
SASV84,Proteobacteria
SASV72,Proteobacteria
SASV35,Proteobacteria
SASV58,Proteobacteria
SASV116,Proteobacteria
SASV57,Proteobacteria
SASV107,Proteobacteria
SASV40,Proteobacteria
SASV134,Proteobacteria
SASV38,Proteobacteria
SASV110,Proteobacteria
SASV159,Proteobacteria
SASV180,Proteobacteria
SASV34,Proteobacteria
SASV102,Proteobacteria
SASV131,Proteobacteria
SASV128,Proteobacteria
SASV157,Proteobacteria
SASV106,Proteobacteria
SASV163,Proteobacteria
SASV168,Proteobacteria
SASV82,Proteobacteria
SASV231,Proteobacteria
SASV64,Proteobacteria
SASV90,Proteobacteria
SASV274,Proteobacteria
SASV193,Proteobacteria
SASV279,Proteobacteria
SASV210,Proteobacteria
SASV217,Proteobacteria
SASV215,Proteobacteria
SASV121,Proteobacteria
SASV291,Proteobacteria
SASV236,Proteobacteria
SASV318,Proteobacteria
SASV298,Proteobacteria
SASV272,Proteobacteria
SASV196,Proteobacteria
SASV129,Proteobacteria
SASV341,Proteobacteria
SASV140,Proteobacteria
SASV313,Proteobacteria
SASV345,Proteobacteria
SASV245,Proteobacteria
SASV235,Proteobacteria
SASV206,Proteobacteria
SASV367,Proteobacteria
SASV278,Proteobacteria
SASV173,Proteobacteria
SASV149,Proteobacteria
SASV190,Proteobacteria
SASV93,Proteobacteria
SASV171,Proteobacteria
SASV241,Proteobacteria
SASV191,Proteobacteria
SASV304,Proteobacteria
SASV440,Proteobacteria
SASV223,Proteobacteria
SASV302,Proteobacteria
SASV292,Proteobacteria
SASV280,Proteobacteria
SASV376,Proteobacteria
SASV474,Proteobacteria
SASV492,Proteobacteria
SASV444,Proteobacteria
SASV501,Proteobacteria
SASV164,Proteobacteria
SASV207,Proteobacteria
SASV271,Proteobacteria
SASV252,Proteobacteria
SASV342,Proteobacteria
SASV527,Proteobacteria
SASV449,Proteobacteria
SASV502,Proteobacteria
SASV325,Proteobacteria
SASV402,Proteobacteria
SASV275,Proteobacteria
SASV249,Proteobacteria
SASV417,Proteobacteria
SASV441,Proteobacteria
SASV143,Proteobacteria
SASV423,Proteobacteria
SASV612,Proteobacteria
SASV161,Proteobacteria
SASV622,Proteobacteria
SASV419,Proteobacteria
SASV315,Proteobacteria
SASV666,Proteobacteria
SASV665,Proteobacteria
SASV663,Proteobacteria
SASV329,Proteobacteria
SASV676,Proteobacteria
SASV613,Proteobacteria
SASV682,Proteobacteria
SASV549,Proteobacteria
SASV746,Proteobacteria
SASV740,Proteobacteria
SASV424,Proteobacteria
SASV578,Proteobacteria
SASV577,Proteobacteria
SASV844,Proteobacteria
SASV242,Proteobacteria
SASV842,Proteobacteria
SASV672,Proteobacteria
SASV172,Proteobacteria
SASV868,Proteobacteria
SASV862,Proteobacteria
SASV575,Proteobacteria
SASV634,Proteobacteria
SASV428,Proteobacteria
SASV936,Proteobacteria
SASV946,Proteobacteria
SASV372,Proteobacteria
SASV988,Proteobacteria
SASV985,Proteobacteria
SASV673,Proteobacteria
SASV580,Proteobacteria
SASV1022,Proteobacteria
SASV411,Proteobacteria
SASV1080,Proteobacteria
SASV507,Proteobacteria
SASV471,Proteobacteria
SASV560,Proteobacteria
SASV1153,Proteobacteria
SASV360,Proteobacteria
SASV1162,Proteobacteria
SASV487,Proteobacteria
SASV1208,Proteobacteria
SASV1230,Proteobacteria
SASV1234,Proteobacteria
SASV1219,Proteobacteria
SASV1266,Proteobacteria
