ID,rrn,doubling time
636,4.5,8.758256533
243,2,8.592868109
177,1.4,7.906890596
22,1,7.577428828
578,4,7.54689446
637,4.5,7.477920131
21,1,7.257387843
20,1,7.247927513
561,3.75,7.168421411
44,1,7.142311318
674,5,7.033423002
643,4.5,6.985841937
241,2,6.894817763
456,3,6.807354922
19,1,6.781359714
431,2.67,6.686500527
375,2.33,6.655351829
259,2,6.614709844
221,2,6.584962501
261,2,6.523561956
432,2.67,6.452124804
18,1,6.375039431
457,3,6.367021533
430,2.67,6.22881869
435,2.67,6.209453366
233,2,6.202417722
220,2,6.189824559
289,2,6.169925001
265,2,6.151371776
212,2,6.143026004
511,3,5.983905663
819,7.33,5.983061423
47,1,5.898692073
262,2,5.832890014
232,2,5.807354922
263,2,5.807354922
77,1,5.722466024
485,3,5.64385619
461,3,5.627898616
205,1.88,5.584962501
277,2,5.584962501
3,1,5.569121448
760,5.84,5.558456039
632,4.4,5.51412226
240,2,5.491853096
606,4,5.491853096
563,3.75,5.371210343
2,1,5.341093492
373,2.33,5.303780748
801,7,5.258895755
331,2,5.171527106
62,1,5.169925001
245,2,5.169925001
4,1,5.145677455
5,1,5.145677455
370,2.33,5.129283017
11,1,5.093813673
244,2,4.852055411
387,2.5,4.844486088
1,1,4.842978832
799,7,4.840966704
39,1,4.807354922
40,1,4.807354922
198,1.67,4.807354922
367,2.29,4.781359714
374,2.33,4.766065051
38,1,4.754887502
800,7,4.754887502
372,2.33,4.73714592
366,2.29,4.700439718
462,3,4.700439718
470,3,4.684257705
416,2.56,4.672425342
413,2.52,4.586164246
70,1,4.584962501
258,2,4.584962501
176,1.4,4.548436625
452,3,4.542877099
455,3,4.527320608
427,2.65,4.516015147
510,3,4.510329019
10,1,4.504620392
541,3.32,4.459431619
49,1,4.436961338
37,1,4.432959407
371,2.33,4.430954271
577,4,4.419538892
570,4,4.411426246
288,2,4.392317423
565,3.75,4.392317423
573,4,4.392317423
580,4,4.392317423
428,2.65,4.331991778
540,3.32,4.329841177
215,2,4.324810603
96,1,4.321928095
197,1.67,4.321928095
458,3,4.321928095
542,3.32,4.321928095
543,3.32,4.321928095
669,5,4.321928095
706,5.16,4.321928095
809,7,4.321928095
378,2.33,4.311793718
307,2,4.286881148
36,1,4.247927513
178,1.4,4.247927513
382,2.33,4.209453366
251,2,4.192257677
598,4,4.185866545
380,2.33,4.174725988
471,3,4.169925001
566,3.75,4.169925001
293,2,4.158660175
27,1,4.137503524
812,7,4.124328135
492,3,4.116863758
811,7,4.115199749
79,1,4.098453246
668,5,4.072963272
358,2.25,4.066950244
287,2,4.050501697
354,2.25,4.044394119
579,4,4.025028794
286,2,4.008988783
12,1,4.007195501
454,3,3.963474124
634,4.45,3.944858446
693,5.16,3.933572638
35,1,3.906890596
572,4,3.906890596
9,1,3.90303934
94,1,3.90014226
346,2.11,3.897240426
392,2.5,3.887525271
175,1.4,3.876302957
43,1,3.850999395
8,1,3.827939254
376,2.33,3.822730148
13,1,3.807354922
34,1,3.807354922
285,2,3.807354922
365,2.29,3.807354922
426,2.61,3.807354922
705,5.16,3.807354922
242,2,3.801158656
544,3.32,3.797012978
188,1.5,3.793161722
276,2,3.792855352
88,1,3.790772038
76,1,3.757023247
194,1.5,3.71918344
213,2,3.705977902
396,2.5,3.700439718
318,2,3.687060688
665,5,3.683696454
704,5.16,3.659924558
397,2.5,3.654206378
546,3.32,3.64385619
25,1,3.623236721
57,1,3.586164246
475,3,3.586164246
17,1,3.584962501
203,1.84,3.584962501
238,2,3.584962501
239,2,3.584962501
295,2,3.584962501
298,2,3.584962501
484,3,3.584962501
866,10,3.584962501
196,1.67,3.584020324
186,1.42,3.572889668
830,7.94,3.549669171
445,2.75,3.530127316
168,1,3.529820947
257,2,3.529820947
403,2.5,3.527320608
401,2.5,3.518535139
699,5.16,3.499527024
250,2,3.477981962
740,5.33,3.473786912
453,3,3.468583317
256,2,3.459431619
464,3,3.459431619
500,3,3.459431619
531,3.18,3.459431619
564,3.75,3.459431619
202,1.83,3.419538892
219,2,3.392317423
696,5.16,3.392317423
591,4,3.388189537
483,3,3.370928721
231,2,3.35473424
249,2,3.333730103
284,2,3.329123596
7,1,3.321928095
