taxon,AAT,CRAT,CAT,MT,CRT,ART,Total
Acidobacteriota,0,0,0,0.001728654,0.024554928,0.039100044,0.011716491
Actinobacteriota,0,0,0.450526146,0.345703246,0.305645849,0.2008477,0.326255032
Bacteroidota,0,0,0,0,0.021408009,0.077267534,0.00973788
Firmicutes,1,0.87266744,0.402237385,0.177681704,0.175958256,0.085198441,0.245100272
Gemmatimonadota,0,0,0,0.015165701,0.010304282,0,0.010164377
Myxococcota,0,0,0,0,0.044948166,0.039100044,0.020355437
Nitrospirota,0,0,0,0.021021979,0.004144773,0.006116208,0
Others,0,0,0,0.015491314,0.037965554,0.198671741,0.036700812
Proteobacteria,0,0.12733256,0.147236468,0.421967271,0.367537442,0.28452549,0.3399697
Verrucomicrobiota,0,0,0,0.001240129,0.00753274,0.0691728,0
